rusticate-download-rust-codebases
Started at: Instant { tv_sec: 61917, tv_nsec: 55522505 }
Settings:
  Input: analyses/top1100_unique_repos.txt
  Output: /home/milnes/projects/RustCodebases
  Jobs: 8
  Shallow: true
  GitHub only: true
  Skip existing: true
  Dry run: false
  Max repos: None
  Start at: 0

Loaded 1087 repositories

Cloning 1087 repositories with 8 parallel jobs...
[T0] ⊘ Skipped 405: rust-num/num-integer (already exists)
[T2] ⊘ Skipped 401: tokio-rs/tracing-opentelemetry (already exists)
[T1] ⊘ Skipped 402: smol-rs/atomic-waker (already exists)
[T4] ⊘ Skipped 408: gimli-rs/leb128 (already exists)
[T1] ⊘ Skipped 412: eira-fransham/crunchy (already exists)
[T4] ⊘ Skipped 413: arkworks-rs/std (already exists)
[T0] ⊘ Skipped 410: rust-bakery/nom (already exists)
[T0] ⊘ Skipped 416: mvdnes/spin-rs (already exists)
[T3] ⊘ Skipped 409: vorner/bytes-utils (already exists)
[T2] ⊘ Skipped 411: zkcrypto/group (already exists)
[T1] ⊘ Skipped 414: smol-rs/futures-lite (already exists)
[T4] ⊘ Skipped 415: mheffner/rust-sketches-ddsketch (already exists)
[T1] ⊘ Skipped 420: ia0/data-encoding (already exists)
[T0] ⊘ Skipped 417: seanmonstar/num_cpus (already exists)
[T1] ⊘ Skipped 422: pest-parser/pest (already exists)
[T2] ⊘ Skipped 419: RumovZ/android-tzdata (already exists)
[T4] ⊘ Skipped 421: paritytech/parity-common (already exists)
[T2] ⊘ Skipped 425: smol-rs/waker-fn (already exists)
[T3] ⊘ Skipped 418: pseitz/lz4_flex (already exists)
[T1] ⊘ Skipped 424: bincode-org/bincode (already exists)
[T0] ⊘ Skipped 423: lambda-fairy/rust-errno (already exists)
[T1] ⊘ Skipped 429: contain-rs/bit-set (already exists)
[T4] ⊘ Skipped 426: soc/directories-rs (already exists)
[T1] ⊘ Skipped 431: contain-rs/linked-hash-map (already exists)
[T2] ⊘ Skipped 427: mcountryman/simd-adler32 (already exists)
[T1] ⊘ Skipped 433: katharostech/cfg_aliases (already exists)
[T2] ⊘ Skipped 434: rust-cli/termtree (already exists)
[T1] ⊘ Skipped 435: bytecodealliance/target-lexicon (already exists)
[T3] ⊘ Skipped 428: image-rs/jpeg-decoder (already exists)
[T0] ⊘ Skipped 430: winnow-rs/winnow (already exists)
[T4] ⊘ Skipped 432: arkworks-rs/algebra (already exists)
[T0] ⊘ Skipped 439: seanmonstar/httparse (already exists)
[T1] ⊘ Skipped 437: tokio-rs/async-stream (already exists)
[T3] ⊘ Skipped 438: Nugine/simd (already exists)
[T4] ⊘ Skipped 440: dimforge/simba (already exists)
[T2] ⊘ Skipped 436: fitzgen/peeking_take_while (already exists)
[T0] ⊘ Skipped 441: rustls/tokio-rustls (already exists)
[T1] ⊘ Skipped 442: hyperium/hyper-util (already exists)
[T3] ⊘ Skipped 443: dtolnay/inventory (already exists)
[T4] ⊘ Skipped 444: abonander/safemem (already exists)
[T2] ⊘ Skipped 445: alexcrichton/wait-timeout (already exists)
[T0] ⊘ Skipped 446: briansmith/ring (already exists)
[T1] ⊘ Skipped 447: unicode-org/icu4x (already exists)
[T3] ⊘ Skipped 448: launchbadge/sqlx (already exists)
[T4] ⊘ Skipped 449: http-rs/http-types (already exists)
[T4] ⊘ Skipped 454: Xudong-Huang/generator-rs (already exists)
[T0] ⊘ Skipped 451: unicode-rs/unicode-xid (already exists)
[T1] ⊘ Skipped 452: RazrFalcon/memmap2-rs (already exists)
[T3] ⊘ Skipped 453: andrewhickman/fs-err (already exists)
[T2] ⊘ Skipped 450: akhilles/crc-catalog (already exists)
[T4] ⊘ Skipped 455: phil-opp/rust-bit-field (already exists)
[T0] ⊘ Skipped 456: briansmith/untrusted (already exists)
[T1] ⊘ Skipped 457: Lokathor/bytemuck (already exists)
[T3] ⊘ Skipped 458: MattiasBuelens/wasm-streams (already exists)
[T2] ⊘ Skipped 459: smol-rs/blocking (already exists)
[T4] ⊘ Skipped 460: boinkor-net/governor (already exists)
[T0] ⊘ Skipped 461: google/zerocopy (already exists)
[T1] ⊘ Skipped 462: ogham/rust-ansi-term (already exists)
[T3] ⊘ Skipped 463: tomprogrammer/rust-ascii (already exists)
[T2] ⊘ Skipped 464: console-rs/indicatif (already exists)
[T4] ⊘ Skipped 465: DoumanAsh/xxhash-rust (already exists)
[T0] ⊘ Skipped 466: srijs/rust-crc32fast (already exists)
[T1] ⊘ Skipped 467: dtolnay/indoc (already exists)
[T3] ⊘ Skipped 468: VoidStarKat/widestring-rs (already exists)
[T2] ⊘ Skipped 469: RustCrypto/signatures (already exists)
[T4] ⊘ Skipped 470: est31/maybe-uninit (already exists)
[T0] ⊘ Skipped 471: unicode-rs/unicode-normalization (already exists)
[T1] ⊘ Skipped 472: oyvindln/adler2 (already exists)
[T3] ⊘ Skipped 473: RazrFalcon/xmlparser (already exists)
[T2] ⊘ Skipped 474: quinn-rs/quinn (already exists)
[T4] ⊘ Skipped 475: callum-oakley/json5-rs (already exists)
[T0] ⊘ Skipped 476: rust-cli/env_logger (already exists)
[T1] ⊘ Skipped 477: tokio-rs/tls (already exists)
[T3] ⊘ Skipped 478: rwf2/multer (already exists)
[T2] ⊘ Skipped 479: RustCrypto/block-modes (already exists)
[T4] ⊘ Skipped 480: jean-airoldie/humantime-serde (already exists)
[T0] ⊘ Skipped 481: indexmap-rs/equivalent (already exists)
[T1] ⊘ Skipped 482: smol-rs/concurrent-queue (already exists)
[T3] ⊘ Skipped 483: swgillespie/unicode-categories (already exists)
[T2] ⊘ Skipped 484: qwandor/anes-rs (already exists)
[T4] ⊘ Skipped 485: lalrpop/ascii-canvas (already exists)
[T0] ⊘ Skipped 486: Amanieu/thread_local-rs (already exists)
[T1] ⊘ Skipped 487: taiki-e/portable-atomic (already exists)
[T3] ⊘ Skipped 488: jni-rs/jni-sys (already exists)
[T2] ⊘ Skipped 489: fancy-regex/fancy-regex (already exists)
[T4] ⊘ Skipped 490: rust-bitcoin/rust-secp256k1 (already exists)
[T0] ⊘ Skipped 491: rust-lang/flate2-rs (already exists)
[T1] ⊘ Skipped 492: KyleMayes/clang-sys (already exists)
[T3] ⊘ Skipped 493: sunng87/handlebars-rust (already exists)
[T2] ⊘ Skipped 494: alexcrichton/bzip2-rs (already exists)
[T4] ⊘ Skipped 495: lambda-fairy/if_chain (already exists)
[T0] ⊘ Skipped 496: Soveu/tinyvec_macros (already exists)
[T1] ⊘ Skipped 497: cesarb/constant_time_eq (already exists)
[T3] ⊘ Skipped 498: bikeshedder/deadpool (already exists)
[T2] ⊘ Skipped 499: chyh1990/yaml-rust (already exists)
[T4] ⊘ Skipped 500: zopfli-rs/zopfli (already exists)
[T0] ⊘ Skipped 501: dtolnay/async-trait (already exists)
[T1] ⊘ Skipped 502: BurntSushi/ucd-generate (already exists)
[T3] ⊘ Skipped 503: rustwasm/gloo (already exists)
[T2] ⊘ Skipped 504: tormol/encode_unicode (already exists)
[T4] ⊘ Skipped 505: bcmyers/num-format (already exists)
[T0] ⊘ Skipped 506: rust-lang/rustc-hash (already exists)
[T1] ⊘ Skipped 507: tower-rs/tower-http (already exists)
[T3] ⊘ Skipped 508: bytecodealliance/wit-bindgen (already exists)
[T2] ⊘ Skipped 509: hyperium/headers (already exists)
[T4] ⊘ Skipped 510: qnighy/yasna.rs (already exists)
[T0] ⊘ Skipped 511: KokaKiwi/rust-hex (already exists)
[T1] ⊘ Skipped 512: dirs-dev/dirs-sys-rs (already exists)
[T3] ⊘ Skipped 513: akubera/bigdecimal-rs (already exists)
[T2] ⊘ Skipped 514: rusqlite/rusqlite (already exists)
[T4] ⊘ Skipped 515: antifuchs/nonzero_ext (already exists)
[T3] ⊘ Skipped 519: alexcrichton/openssl-src-rs (already exists)
[T1] ⊘ Skipped 517: jethrogb/rust-cexpr (already exists)
[T2] ⊘ Skipped 518: Manishearth/pathdiff (already exists)
[T4] ⊘ Skipped 520: oconnor663/blake2_simd (already exists)
[T0] ⊘ Skipped 516: vorner/signal-hook (already exists)
[T3] ⊘ Skipped 521: raphlinus/pulldown-cmark (already exists)
[T1] ⊘ Skipped 522: soc/dirs-rs (already exists)
[T2] ⊘ Skipped 523: mmastrac/rust-ctor (already exists)
[T4] ⊘ Skipped 524: servo/html5ever (already exists)
[T0] ⊘ Skipped 525: seanmonstar/reqwest (already exists)
[T3] ⊘ Skipped 526: lo48576/iri-string (already exists)
[T1] ⊘ Skipped 527: RustCrypto/block-ciphers (already exists)
[T2] ⊘ Skipped 528: GuillaumeGomez/doc-comment (already exists)
[T4] ⊘ Skipped 529: m4b/scroll (already exists)
[T4] ⊘ Skipped 534: dotenv-rs/dotenv (already exists)
[T3] ⊘ Skipped 531: idanarye/rust-typed-builder (already exists)
[T1] ⊘ Skipped 532: smol-rs/async-lock (already exists)
[T2] ⊘ Skipped 533: smol-rs/async-executor (already exists)
[T0] ⊘ Skipped 530: dalek-cryptography/subtle (already exists)
[T4] ⊘ Skipped 535: gimli-rs/findshlibs (already exists)
[T0] ⊘ Skipped 539: gimli-rs/object (already exists)
[T3] ⊘ Skipped 536: samscott89/serde_qs (already exists)
[T1] ⊘ Skipped 537: console-rs/console (already exists)
[T2] ⊘ Skipped 538: hsivonen/utf16_iter (already exists)
[T4] ⊘ Skipped 540: alexcrichton/xz2-rs (already exists)
[T2] ⊘ Skipped 544: hsivonen/write16 (already exists)
[T3] ⊘ Skipped 542: emk/cesu8-rs (already exists)
[T1] ⊘ Skipped 543: havarnov/multimap (already exists)
[T4] ⊘ Skipped 545: liranringel/ipconfig (already exists)
[T1] ⊘ Skipped 548: smol-rs/parking (already exists)
[T4] ⊘ Skipped 549: alexcrichton/curl-rust (already exists)
[T2] ⊘ Skipped 546: mbrubeck/rust-debug-unreachable (already exists)
[T0] ⊘ Skipped 541: rustls/webpki (already exists)
[T1] ⊘ Skipped 550: hjr3/hyper-timeout (already exists)
[T3] ⊘ Skipped 547: pyfisch/cbor (already exists)
[T4] ⊘ Skipped 551: auto-impl-rs/auto_impl (already exists)
[T3] ⊘ Skipped 555: unicode-rs/unicode-properties (already exists)
[T2] ⊘ Skipped 552: GuillaumeGomez/sysinfo (already exists)
[T1] ⊘ Skipped 554: kornelski/rust-security-framework (already exists)
[T4] ⊘ Skipped 556: magiclen/utf8-width (already exists)
[T1] ⊘ Skipped 559: indiv0/lazycell (already exists)
[T3] ⊘ Skipped 557: 10xGenomics/lz4-rs (already exists)
[T2] ⊘ Skipped 558: mikedilger/float-cmp (already exists)
[T4] ⊘ Skipped 560: frewsxcv/rust-chunked-transfer (already exists)
[T2] ⊘ Skipped 563: sfackler/rust-stringprep (already exists)
[T1] ⊘ Skipped 561: jeromefroe/lru-rs (already exists)
[T3] ⊘ Skipped 562: metrics-rs/metrics (already exists)
[T4] ⊘ Skipped 564: jhpratt/standback (already exists)
[T3] ⊘ Skipped 567: actix/actix-net (already exists)
[T4] ⊘ Skipped 568: borntyping/rust-simple_logger (already exists)
[T3] ⊘ Skipped 569: aws/aws-lc-rs (already exists)
[T1] ⊘ Skipped 566: vorner/arc-swap (already exists)
[T0] ⊘ Skipped 553: rustls/webpki-roots (already exists)
[T4] ⊘ Skipped 570: wvwwvwwv/scalable-concurrent-containers (already exists)
[T4] ⊘ Skipped 574: Arnavion/k8s-openapi (already exists)
[T2] ⊘ Skipped 565: dignifiedquire/num-bigint (already exists)
[T1] ⊘ Skipped 572: hsivonen/idna_adapter (already exists)
[T0] ⊘ Skipped 573: dtolnay/rustversion (already exists)
[T4] ⊘ Skipped 575: bodil/smartstring (already exists)
[T0] ⊘ Skipped 578: hyperium/mime (already exists)
[T2] ⊘ Skipped 576: sfackler/tokio-io-timeout (already exists)
[T1] ⊘ Skipped 577: jcreekmore/pem-rs (already exists)
[T4] ⊘ Skipped 579: rustls/rcgen (already exists)
[T3] ⊘ Skipped 571: bytesize-rs/bytesize (already exists)
[T0] ⊘ Skipped 580: strawlab/iana-time-zone (already exists)
[T2] ⊘ Skipped 581: kornelski/xml-rs (already exists)
[T1] ⊘ Skipped 582: hsivonen/utf8_iter (already exists)
[T4] ⊘ Skipped 583: wvwwvwwv/scalable-delayed-dealloc (already exists)
[T4] ⊘ Skipped 588: SergioBenitez/uncased (already exists)
[T3] ⊘ Skipped 584: awslabs/aws-sdk-rust (already exists)
[T2] ⊘ Skipped 586: asomers/mockall (already exists)
[T1] ⊘ Skipped 587: abonander/mime_guess (already exists)
[T2] ⊘ Skipped 591: Alexhuszagh/rust-lexical (already exists)
[T0] ⊘ Skipped 585: rustls/pemfile (already exists)
[T0] ⊘ Skipped 594: TedDriggs/darling (already exists)
[T3] ⊘ Skipped 590: rust-ndarray/ndarray (already exists)
[T1] ⊘ Skipped 592: rust-lang/libz-sys (already exists)
[T1] ⊘ Skipped 597: bitvecto-rs/bitvec (already exists)
[T4] ⊘ Skipped 589: BurntSushi/utf8-ranges (already exists)
[T0] ⊘ Skipped 595: BurntSushi/termcolor (already exists)
[T3] ⊘ Skipped 596: sgodwincs/dlv-list-rs (already exists)
[T1] ⊘ Skipped 598: rust-num/num (already exists)
[T3] ⊘ Skipped 601: bluejekyll/trust-dns (already exists)
[T4] ⊘ Skipped 599: stephaneyfx/enum-iterator (already exists)
[T0] ⊘ Skipped 600: servo/unicode-bidi (already exists)
[T2] ⊘ Skipped 593: ardaku/whoami (already exists)
[T1] ⊘ Skipped 602: SimonSapin/rust-std-candidates (already exists)
[T2] ⊘ Skipped 606: image-rs/image-png (already exists)
[T3] ⊘ Skipped 603: rust-lang/stacker (already exists)
[T2] ⊘ Skipped 608: bluss/maplit (already exists)
[T0] ⊘ Skipped 605: comex/rust-shlex (already exists)
[T4] ⊘ Skipped 604: RazrFalcon/pico-args (already exists)
[T1] ⊘ Skipped 607: dtolnay/dyn-clone (already exists)
[T4] ⊘ Skipped 612: paritytech/unsigned-varint (already exists)
[T2] ⊘ Skipped 610: ogham/rust-number-prefix (already exists)
[T0] ⊘ Skipped 611: seanmonstar/want (already exists)
[T1] ⊘ Skipped 613: illicitonion/num_enum (already exists)
[T0] ⊘ Skipped 616: gimli-rs/gimli (already exists)
[T4] ⊘ Skipped 614: tokio-rs/loom (already exists)
[T2] ⊘ Skipped 615: mullvad/system-configuration-rs (already exists)
[T1] ⊘ Skipped 617: ferrilab/ferrilab (already exists)
[T3] ⊘ Skipped 609: deprecrated/net2-rs (already exists)
[T0] ⊘ Skipped 618: seanmonstar/try-lock (already exists)
[T4] ⊘ Skipped 619: sdroege/bytes-num-slice-cast (already exists)
[T2] ⊘ Skipped 620: image-rs/image (already exists)
[T1] ⊘ Skipped 621: criterion-rs/criterion.rs (already exists)
[T2] ⊘ Skipped 625: colin-kiegel/rust-derive-builder (already exists)
[T2] ⊘ Skipped 627: tkaitchuck/constrandom (already exists)
[T4] ⊘ Skipped 624: rust-rocksdb/rust-rocksdb (already exists)
[T1] ⊘ Skipped 626: smol-rs/polling (already exists)
[T4] ⊘ Skipped 629: paritytech/parity-scale-codec (already exists)
[T3] ⊘ Skipped 622: la10736/rstest (already exists)
[T0] ⊘ Skipped 623: rust-lang/glob (already exists)
[T2] ⊘ Skipped 628: reem/rust-void (already exists)
[T1] ⊘ Skipped 630: myrrlyn/tap (already exists)
[T2] ⊘ Skipped 634: BLAKE3-team/BLAKE3 (already exists)
[T3] ⊘ Skipped 632: sagebind/castaway (already exists)
[T0] ⊘ Skipped 633: tower-rs/tower (already exists)
[T1] ⊘ Skipped 635: steveklabnik/semver-parser (already exists)
[T0] ⊘ Skipped 638: rust-lang/rustc-demangle (already exists)
[T1] ⊘ Skipped 639: dylni/os_str_bytes (already exists)
[T0] ⊘ Skipped 640: Peternator7/strum (already exists)
[T1] ⊘ Skipped 641: myrrlyn/wyz (already exists)
[T0] ⊘ Skipped 642: BurntSushi/walkdir (already exists)
[T4] ⊘ Skipped 631: fitzgen/mach (already exists)
[T2] ⊘ Skipped 636: cbreeden/fxhash (already exists)
[T1] ⊘ Skipped 643: BurntSushi/rust-csv (already exists)
[T2] ⊘ Skipped 646: Stebalien/term (already exists)
[T0] ⊘ Skipped 644: taiki-e/pin-project (already exists)
[T4] ⊘ Skipped 645: Keats/validator (already exists)
[T1] ⊘ Skipped 647: snapview/tungstenite-rs (already exists)
[T4] ⊘ Skipped 650: kube-rs/kube (already exists)
[T2] ⊘ Skipped 648: bluejekyll/enum-as-inner (already exists)
[T0] ⊘ Skipped 649: rust-cli/anstyle (already exists)
[T1] ⊘ Skipped 651: nical/android_system_properties (already exists)
[T0] ⊘ Skipped 654: pyfisch/httpdate (already exists)
[T1] ⊘ Skipped 655: droundy/arrayref (already exists)
[T0] ⊘ Skipped 656: bluss/arrayvec (already exists)
[T2] ⊘ Skipped 653: Keats/jsonwebtoken (already exists)
[T3] ⊘ Skipped 637: actix/actix-web (already exists)
[T4] ⊘ Skipped 652: bodil/bitmaps (already exists)
[T0] ⊘ Skipped 657: rust-num/num-bigint (already exists)
[T2] ⊘ Skipped 658: mitsuhiko/similar (already exists)
[T3] ⊘ Skipped 659: ron-rs/ron (already exists)
[T4] ⊘ Skipped 660: rust-lang/tempdir (already exists)
[T0] ⊘ Skipped 661: rust-lang/backtrace-rs (already exists)
[T2] ⊘ Skipped 662: acw/simple_asn1 (already exists)
[T3] ⊘ Skipped 663: apache/thrift (already exists)
[T2] ⊘ Skipped 666: dtolnay/dtoa (already exists)
[T0] ⊘ Skipped 665: rustls/hyper-rustls (already exists)
[T4] ⊘ Skipped 664: Lokathor/wide (already exists)
[T3] ⊘ Skipped 667: sgodwincs/ordered-multimap-rs (already exists)
[T2] ⊘ Skipped 668: gz/rust-cpuid (already exists)
[T0] ⊘ Skipped 669: hermit-os/hermit-rs (already exists)
[T4] ⊘ Skipped 670: LeopoldArkham/humansize (already exists)
[T3] ⊘ Skipped 671: axelf4/unicode-linebreak (already exists)
[T2] ⊘ Skipped 672: trifectatechfoundation/bzip2-rs (already exists)
[T0] ⊘ Skipped 673: BurntSushi/same-file (already exists)
[T4] ⊘ Skipped 674: crossterm-rs/crossterm-winapi (already exists)
[T3] ⊘ Skipped 675: Manishearth/triomphe (already exists)
[T2] ⊘ Skipped 676: gnzlbg/match_cfg (already exists)
[T0] ⊘ Skipped 677: gimli-rs/addr2line (already exists)
[T4] ⊘ Skipped 678: seanmonstar/warp (already exists)
[T3] ⊘ Skipped 679: carllerche/iovec (already exists)
[T2] ⊘ Skipped 680: RustCrypto/universal-hashes (already exists)
[T0] ⊘ Skipped 681: nox/serde_urlencoded (already exists)
[T4] ⊘ Skipped 682: reem/rust-unreachable (already exists)
[T3] ⊘ Skipped 683: tikv/jemallocator (already exists)
[T2] ⊘ Skipped 684: mitsuhiko/fragile (already exists)
[T0] ⊘ Skipped 685: dtolnay/paste (already exists)
[T4] ⊘ Skipped 686: lunacookies/etcetera (already exists)
[T3] ⊘ Skipped 687: image-rs/image-tiff (already exists)
[T2] ⊘ Skipped 688: near/borsh-rs (already exists)
[T0] ⊘ Skipped 689: hsivonen/encoding_rs (already exists)
[T4] ⊘ Skipped 690: OrKoN/base-x-rs (already exists)
[T3] ⊘ Skipped 691: kornelski/rust-rgb (already exists)
[T2] ⊘ Skipped 692: stainless-steel/md5 (already exists)
[T3] ⊘ Skipped 693: Nullus157/bs58-rs (already exists)
[T2] ⊘ Skipped 694: owo-colors/owo-colors (already exists)
[T2] ⊘ Skipped 696: proptest-rs/proptest (already exists)
[T3] ⊘ Skipped 695: ParkMyCar/compact_str (already exists)
[T2] ⊘ Skipped 697: servo/string-cache (already exists)
[T2] ⊘ Skipped 698: palfrey/serial_test (already exists)
[T2] ⊘ Skipped 699: crossterm-rs/crossterm (already exists)
[T2] ⊘ Skipped 700: marcianx/downcast-rs (already exists)
[T2] ⊘ Skipped 701: fkoep/downcast-rs (already exists)
[T2] ⊘ Skipped 702: rust-threadpool/rust-threadpool (already exists)
[T2] ⊘ Skipped 703: pacman82/atoi-rs (already exists)
[T7] ✓ Cloned 1/1087: SeaQL/sea-bae
[T6] ✓ Cloned 2/1087: yescallop/fluent-uri-rs
[T5] ✓ Cloned 3/1087: dtolnay/trybuild
[T7] ✓ Cloned 4/1087: brendanzab/gl-rs
[T6] ✓ Cloned 5/1087: jmg-duarte/sealed-rs
[T5] ✓ Cloned 6/1087: upsuper/retain_mut
[T7] ✓ Cloned 7/1087: Byron/treediff-rs
[T5] ✓ Cloned 8/1087: ardaku/wasite
[T6] ✓ Cloned 9/1087: sval-rs/sval
[T5] ✓ Cloned 10/1087: maciejhirsz/beef
[T6] ✓ Cloned 11/1087: GitoxideLabs/prodash
[T7] ✓ Cloned 12/1087: zhiburt/tabled
[T5] ✓ Cloned 13/1087: frondeus/test-case
[T6] ✓ Cloned 14/1087: serde-rs/test
[T7] ✓ Cloned 15/1087: addr-rs/psl
[T5] ✓ Cloned 16/1087: Ralith/lru-slab
[T6] ✓ Cloned 17/1087: Voultapher/self_cell
[T7] ✓ Cloned 18/1087: esposm03/xcursor-rs
[T5] ✓ Cloned 19/1087: yoshuawuyts/fd-lock
[T6] ✓ Cloned 20/1087: Stebalien/slug-rs
[T7] ✓ Cloned 21/1087: vitiral/build_const
[T5] ✓ Cloned 22/1087: rustyhorde/vergen
[T6] ✓ Cloned 23/1087: rust-embedded/nb
[T7] ✓ Cloned 24/1087: rust-netlink/netlink-packet-utils
[T7] ✓ Cloned 25/1087: oschwald/maxminddb-rust
[T6] ✓ Cloned 26/1087: dudykr/ddbase
[T5] ✓ Cloned 27/1087: open-i18n/rust-unic
[T5] ✓ Cloned 28/1087: johannesvollmer/lebe
[T6] ✓ Cloned 29/1087: getsentry/rust-sourcemap
[T7] ✓ Cloned 30/1087: mcginty/snow
[T5] ✓ Cloned 31/1087: alexcrichton/ssh2-rs
[T6] ✓ Cloned 32/1087: sfackler/r2d2
[T7] ✓ Cloned 33/1087: SergioBenitez/Figment
[T6] ✓ Cloned 34/1087: RoaringBitmap/roaring-rs
[T5] ✓ Cloned 35/1087: m4b/goblin
[T7] ✓ Cloned 36/1087: LukasKalbertodt/libtest-mimic
[T6] ✓ Cloned 37/1087: rust-mobile/ndk
[T5] ✓ Cloned 38/1087: johannhof/difference.rs
[T7] ✓ Cloned 39/1087: rust-windowing/glutin
[T6] ✓ Cloned 40/1087: bytecodealliance/regalloc2
[T6] ⊘ Skipped 704: deprecrated/mio-uds (already exists)
[T6] ⊘ Skipped 705: graphql-rust/graphql-parser (already exists)
[T6] ⊘ Skipped 706: nrc/derive-new (already exists)
[T6] ⊘ Skipped 707: fitzgen/id-arena (already exists)
[T6] ⊘ Skipped 708: Boshen/unicode-id (already exists)
[T6] ⊘ Skipped 709: mdsteele/rust-cfb (already exists)
[T6] ⊘ Skipped 710: Keats/tera (already exists)
[T6] ⊘ Skipped 711: PyO3/rust-numpy (already exists)
[T6] ⊘ Skipped 712: chanced/jsonptr (already exists)
[T6] ⊘ Skipped 713: danipopes/const-hex (already exists)
[T6] ⊘ Skipped 714: RReverser/serde-xml-rs (already exists)
[T6] ⊘ Skipped 715: magiclen/byte-unit (already exists)
[T6] ⊘ Skipped 716: KodrAus/serde_fmt (already exists)
[T6] ⊘ Skipped 717: dahosek/finl_unicode (already exists)
[T6] ⊘ Skipped 718: dtolnay/inherent (already exists)
[T6] ⊘ Skipped 719: rodrigocfd/winsafe (already exists)
[T6] ⊘ Skipped 720: SeaQL/sea-query (already exists)
[T6] ⊘ Skipped 721: SSheldon/rust-objc (already exists)
[T6] ⊘ Skipped 722: andylokandy/arraydeque (already exists)
[T6] ⊘ Skipped 723: fMeow/maybe-async-rs (already exists)
[T6] ⊘ Skipped 724: SSheldon/malloc_buf (already exists)
[T6] ⊘ Skipped 725: Stebalien/str_stack (already exists)
[T6] ⊘ Skipped 726: napi-rs/napi-rs (already exists)
[T6] ⊘ Skipped 727: ebarnard/rust-plist (already exists)
[T6] ⊘ Skipped 728: alexheretic/linked-hash-set (already exists)
[T6] ⊘ Skipped 729: tokio-rs/tokio-openssl (already exists)
[T6] ⊘ Skipped 730: Lymia/enumset (already exists)
[T6] ⊘ Skipped 731: dcuddeback/termios-rs (already exists)
[T6] ⊘ Skipped 732: multiformats/rust-multibase (already exists)
[T6] ⊘ Skipped 733: oconnor663/duct.rs (already exists)
[T6] ⊘ Skipped 734: askama-rs/askama (already exists)
[T6] ⊘ Skipped 735: gtk-rs/gtk-rs-core (already exists)
[T6] ⊘ Skipped 736: slog-rs/term (already exists)
[T6] ⊘ Skipped 737: ridiculousfish/regress (already exists)
[T6] ⊘ Skipped 738: paritytech/soketto (already exists)
[T6] ⊘ Skipped 739: sgodwincs/uriparse-rs (already exists)
[T6] ⊘ Skipped 740: open-telemetry/opentelemetry-rust-contrib (already exists)
[T5] ✓ Cloned 41/1087: slog-rs/slog
[T7] ✗ Failed 1: jmap-rs/json-pointer - Git clone failed for https://github.com/jmap-rs/json-pointer.git
[T7] ✓ Cloned 42/1087: zeenix/xdg-home
[T5] ✓ Cloned 43/1087: image-rs/byteorder-lite
[T6] ✓ Cloned 44/1087: bluss/twoway
[T7] ✓ Cloned 45/1087: rustless/valico
[T5] ✓ Cloned 46/1087: sile/libflate
[T6] ✓ Cloned 47/1087: robjtede/impl-more
[T5] ✓ Cloned 48/1087: multiformats/rust-multihash
[T7] ✓ Cloned 49/1087: grovesNL/glow
[T6] ✓ Cloned 50/1087: ramosbugs/oauth2-rs
[T5] ✓ Cloned 51/1087: SergioBenitez/proc-macro2-diagnostics
[T7] ✓ Cloned 52/1087: dylni/normpath
[T6] ✓ Cloned 53/1087: Ethiraric/yaml-rust2
[T5] ✓ Cloned 54/1087: dtolnay/basic-toml
[T7] ✓ Cloned 55/1087: SergioBenitez/Pear
[T6] ✓ Cloned 56/1087: lucab/memfd-rs
[T7] ✓ Cloned 57/1087: rustless/jsonway
[T6] ✓ Cloned 58/1087: purpleprotocol/mimalloc_rust
[T7] ✓ Cloned 59/1087: rust-netlink/netlink-packet-route
[T6] ✓ Cloned 60/1087: marmeladema/clru-rs
[T7] ✓ Cloned 61/1087: ejmahler/strength_reduce
[T6] ✓ Cloned 62/1087: bodil/im-rs
[T7] ✓ Cloned 63/1087: jedisct1/rust-hmac-sha512
[T6] ✓ Cloned 64/1087: Seeker14491/opener
[T5] ✓ Cloned 65/1087: GitoxideLabs/gitoxide
[T7] ✓ Cloned 66/1087: jamesmunns/cobs.rs
[T6] ✓ Cloned 67/1087: billyrieger/bimap-rs
[T5] ✓ Cloned 68/1087: smol-rs/async-fs
[T7] ✓ Cloned 69/1087: gluon-lang/lsp-types
[T6] ✓ Cloned 70/1087: kobzol/rust-delegate
[T7] ✓ Cloned 71/1087: Kerollmops/slice-group-by
[T5] ✓ Cloned 72/1087: seanmonstar/pretty-env-logger
[T6] ✓ Cloned 73/1087: async-graphql/async-graphql
[T7] ✓ Cloned 74/1087: oyvindln/gzip-header
[T5] ✓ Cloned 75/1087: bkchr/impl-trait-for-tuples
[T6] ✓ Cloned 76/1087: Elzair/core_affinity_rs
[T7] ✓ Cloned 77/1087: RazrFalcon/tiny-skia
[T5] ✓ Cloned 78/1087: bodil/sized-chunks
[T6] ✓ Cloned 79/1087: slog-rs/async
[T7] ✓ Cloned 80/1087: magiclen/html-escape
[T5] ✓ Cloned 81/1087: jbaublitz/getset
[T6] ✓ Cloned 82/1087: Canop/lazy-regex
[T7] ✓ Cloned 83/1087: fitzgen/is_executable
[T6] ✓ Cloned 84/1087: alexcrichton/nghttp2-rs
[T5] ✓ Cloned 85/1087: getsentry/sentry-rust
[T7] ✓ Cloned 86/1087: danreeves/path-clean
[T6] ✓ Cloned 87/1087: robbepop/string-interner
[T5] ✓ Cloned 88/1087: pfernie/cookie_store
[T7] ✓ Cloned 89/1087: denoland/rusty_v8
