rusticate-download-rust-codebases
Started at: Instant { tv_sec: 61917, tv_nsec: 55522505 }
Settings:
  Input: analyses/top1100_unique_repos.txt
  Output: /home/milnes/projects/RustCodebases
  Jobs: 8
  Shallow: true
  GitHub only: true
  Skip existing: true
  Dry run: false
  Max repos: None
  Start at: 0

Loaded 1087 repositories

Cloning 1087 repositories with 8 parallel jobs...
[T4] ⊘ Skipped 84: oliver-giersch/tagptr (already exists)
[T1] ⊘ Skipped 94: nvzqz/static-assertions-rs (already exists)
[T1] ⊘ Skipped 100: hawkw/sharded-slab (already exists)
[T0] ⊘ Skipped 95: matklad/once_cell (already exists)
[T3] ⊘ Skipped 97: rkyv/ptr_meta (already exists)
[T2] ⊘ Skipped 98: Marwes/combine (already exists)
[T3] ⊘ Skipped 103: whatisinternet/inflector (already exists)
[T2] ⊘ Skipped 104: dropbox/rust-brotli-decompressor (already exists)
[T3] ⊘ Skipped 105: getsentry/rust-debugid (already exists)
[T2] ⊘ Skipped 106: RustCrypto/crypto-bigint (already exists)
[T3] ⊘ Skipped 107: RustCrypto/elliptic-curves (already exists)
[T2] ⊘ Skipped 108: gentoo90/winreg-rs (already exists)
[T3] ⊘ Skipped 109: 3Hren/msgpack-rust (already exists)
[T4] ⊘ Skipped 99: dimforge/nalgebra (already exists)
[T3] ⊘ Skipped 111: RustCrypto/AEADs (already exists)
[T1] ⊘ Skipped 101: petgraph/petgraph (already exists)
[T3] ⊘ Skipped 113: Detegr/rust-ctrlc (already exists)
[T5] ⊘ Skipped 96: servo/futf (already exists)
[T3] ⊘ Skipped 115: altsysrq/rusty-fork (already exists)
[T0] ⊘ Skipped 102: rust-lang/cc-rs (already exists)
[T3] ⊘ Skipped 117: hannobraun/inotify (already exists)
[T4] ⊘ Skipped 112: someguynamedjosh/ouroboros (already exists)
[T3] ⊘ Skipped 119: rusticata/der-parser (already exists)
[T1] ⊘ Skipped 114: storyyeller/stable_deref_trait (already exists)
[T3] ⊘ Skipped 121: soc/option-ext (already exists)
[T1] ⊘ Skipped 122: jedisct1/rust-siphash (already exists)
[T3] ⊘ Skipped 123: arcnmx/serde-value (already exists)
[T1] ⊘ Skipped 124: rutrum/convert-case (already exists)
[T3] ⊘ Skipped 125: TeXitoi/structopt (already exists)
[T1] ⊘ Skipped 126: petgraph/fixedbitset (already exists)
[T2] ⊘ Skipped 110: SergioBenitez/yansi (already exists)
[T0] ⊘ Skipped 118: dtolnay/ryu (already exists)
[T4] ⊘ Skipped 120: gimli-rs/cpp_demangle (already exists)
[T4] ⊘ Skipped 131: rust-analyzer/smol_str (already exists)
[T5] ⊘ Skipped 116: zkat/miette (already exists)
[T5] ⊘ Skipped 133: reem/rust-mac (already exists)
[T1] ⊘ Skipped 128: softprops/atty (already exists)
[T5] ⊘ Skipped 134: rushmorem/publicsuffix (already exists)
[T0] ⊘ Skipped 130: clap-rs/clap (already exists)
[T4] ⊘ Skipped 132: moka-rs/moka (already exists)
[T4] ⊘ Skipped 137: GnomedDev/proc-macro-error-2 (already exists)
[T3] ⊘ Skipped 127: rust-fuzz/arbitrary (already exists)
[T2] ⊘ Skipped 129: mcarton/rust-derivative (already exists)
[T1] ⊘ Skipped 135: jhpratt/deranged (already exists)
[T5] ⊘ Skipped 136: nagisa/rust_rdrand (already exists)
[T0] ⊘ Skipped 138: BurntSushi/aho-corasick (already exists)
[T4] ⊘ Skipped 139: dtolnay/seq-macro (already exists)
[T4] ⊘ Skipped 145: zowens/crc32c (already exists)
[T3] ⊘ Skipped 140: rusticata/x509-parser (already exists)
[T2] ⊘ Skipped 141: bheisler/TinyTemplate (already exists)
[T3] ⊘ Skipped 147: rust-lang/git2-rs (already exists)
[T1] ⊘ Skipped 142: wasm-bindgen/wasm-bindgen (already exists)
[T3] ⊘ Skipped 149: bluss/matrixmultiply (already exists)
[T1] ⊘ Skipped 150: harryfei/which-rs (already exists)
[T3] ⊘ Skipped 151: MarcusGrass/parse-range-headers (already exists)
[T1] ⊘ Skipped 152: jonas-schievink/adler (already exists)
[T3] ⊘ Skipped 153: rusticata/oid-registry (already exists)
[T1] ⊘ Skipped 154: sfackler/foreign-types (already exists)
[T2] ⊘ Skipped 148: tokio-rs/valuable (already exists)
[T2] ⊘ Skipped 157: debris/tiny-keccak (already exists)
[T5] ⊘ Skipped 143: octplane/fsevent-rust (already exists)
[T0] ⊘ Skipped 144: servo/rust-smallvec (already exists)
[T4] ⊘ Skipped 146: gilnaa/globwalk (already exists)
[T4] ⊘ Skipped 161: danburkert/fs2-rs (already exists)
[T4] ⊘ Skipped 162: Amanieu/atomic-rs (already exists)
[T1] ⊘ Skipped 156: rustls/rustls-native-certs (already exists)
[T2] ⊘ Skipped 158: dtolnay/proc-macro-hack (already exists)
[T2] ⊘ Skipped 165: oli-obk/cargo_metadata (already exists)
[T5] ⊘ Skipped 159: Michael-F-Bryan/include_dir (already exists)
[T0] ⊘ Skipped 160: Amanieu/parking_lot (already exists)
[T5] ⊘ Skipped 167: rust-postgres/rust-postgres (already exists)
[T0] ⊘ Skipped 168: rapidfuzz/strsim-rs (already exists)
[T5] ⊘ Skipped 169: getsentry/symbolic (already exists)
[T0] ⊘ Skipped 170: microsoft/windows-rs (already exists)
[T5] ⊘ Skipped 171: Sgeo/take_mut (already exists)
[T0] ⊘ Skipped 172: rust-lang-nursery/lazy-static.rs (already exists)
[T5] ⊘ Skipped 173: smithay/wayland-rs (already exists)
[T0] ⊘ Skipped 174: rust-lang/socket2 (already exists)
[T5] ⊘ Skipped 175: kornelski/deunicode (already exists)
[T0] ⊘ Skipped 176: rust-num/num-traits (already exists)
[T5] ⊘ Skipped 177: gdesmott/system-deps (already exists)
[T1] ⊘ Skipped 164: mcgoo/vcpkg-rs (already exists)
[T2] ⊘ Skipped 166: BurntSushi/ripgrep (already exists)
[T1] ⊘ Skipped 180: nushell/nu-ansi-term (already exists)
[T3] ⊘ Skipped 155: hickory-dns/resolv-conf (already exists)
[T4] ⊘ Skipped 163: udoprog/relative-path (already exists)
[T3] ⊘ Skipped 183: rodrimati1992/const_format_crates (already exists)
[T0] ⊘ Skipped 178: bytecodealliance/rustix (already exists)
[T5] ⊘ Skipped 179: dbus2/zbus (already exists)
[T2] ⊘ Skipped 181: jhpratt/num_threads (already exists)
[T1] ⊘ Skipped 182: TedDriggs/ident_case (already exists)
[T2] ⊘ Skipped 188: sfackler/rust-fallible-iterator (already exists)
[T1] ⊘ Skipped 189: VoidStarKat/half-rs (already exists)
[T2] ⊘ Skipped 190: Stebalien/xattr (already exists)
[T0] ⊘ Skipped 186: rayon-rs/either (already exists)
[T5] ⊘ Skipped 187: z-galaxy/zbus (already exists)
[T4] ⊘ Skipped 184: meithecatte/enumflags2 (already exists)
[T1] ⊘ Skipped 191: hawkw/matchers (already exists)
[T4] ⊘ Skipped 195: rust-embedded/heapless (already exists)
[T3] ⊘ Skipped 185: smol-rs/piper (already exists)
[T2] ⊘ Skipped 192: GREsau/schemars (already exists)
[T0] ⊘ Skipped 193: SergioBenitez/version_check (already exists)
[T5] ⊘ Skipped 194: stusmall/murmur3 (already exists)
[T1] ⊘ Skipped 196: sebcrozet/instant (already exists)
[T5] ⊘ Skipped 201: johannesvollmer/exrs (already exists)
[T4] ⊘ Skipped 197: yoshuawuyts/miow (already exists)
[T3] ⊘ Skipped 198: llogiq/bytecount (already exists)
[T2] ⊘ Skipped 199: snapview/tokio-tungstenite (already exists)
[T0] ⊘ Skipped 200: dtolnay/semver (already exists)
[T4] ⊘ Skipped 202: besok/jsonpath-rust (already exists)
[T3] ⊘ Skipped 203: Nugine/outref (already exists)
[T2] ⊘ Skipped 204: shepmaster/twox-hash (already exists)
[T0] ⊘ Skipped 205: servo/rust-url (already exists)
[T4] ⊘ Skipped 206: magiclen/educe (already exists)
[T3] ⊘ Skipped 207: smol-rs/async-process (already exists)
[T2] ⊘ Skipped 208: camino-rs/camino (already exists)
[T0] ⊘ Skipped 209: tokio-rs/bytes (already exists)
[T4] ⊘ Skipped 210: dtolnay/scratch (already exists)
[T3] ⊘ Skipped 211: allan2/dotenvy (already exists)
[T1] ⊘ Skipped 215: BurntSushi/bstr (already exists)
[T1] ⊘ Skipped 217: JelteF/derive_more (already exists)
[T0] ⊘ Skipped 213: time-rs/time (already exists)
[T4] ⊘ Skipped 214: LukasKalbertodt/litrs (already exists)
[T3] ⊘ Skipped 216: dtolnay/ref-cast (already exists)
[T2] ⊘ Skipped 212: rust-lang/cmake-rs (already exists)
[T2] ⊘ Skipped 222: assert-rs/predicates-rs (already exists)
[T1] ⊘ Skipped 218: reem/rust-ordered-float (already exists)
[T0] ⊘ Skipped 219: RustCrypto/traits (already exists)
[T4] ⊘ Skipped 220: idubrov/json-patch (already exists)
[T0] ⊘ Skipped 225: taiki-e/pin-project-lite (already exists)
[T4] ⊘ Skipped 226: SimonSapin/rust-typed-arena (already exists)
[T2] ⊘ Skipped 223: mrhooray/crc-rs (already exists)
[T3] ⊘ Skipped 221: contain-rs/lru-cache (already exists)
[T4] ⊘ Skipped 227: smol-rs/async-broadcast (already exists)
[T0] ⊘ Skipped 228: tokio-rs/mio (already exists)
[T1] ⊘ Skipped 224: dtolnay/prettyplease (already exists)
[T0] ⊘ Skipped 232: bluss/scopeguard (already exists)
[T3] ⊘ Skipped 230: rkyv/rkyv (already exists)
[T0] ⊘ Skipped 234: dtolnay/anyhow (already exists)
[T4] ⊘ Skipped 231: lalrpop/lalrpop (already exists)
[T1] ⊘ Skipped 233: rust-lang/rust-bindgen (already exists)
[T2] ⊘ Skipped 229: RustCrypto/KDFs (already exists)
[T3] ⊘ Skipped 235: shepmaster/snafu (already exists)
[T0] ⊘ Skipped 236: sunfishcode/linux-raw-sys (already exists)
[T4] ⊘ Skipped 237: rust-lang/ena (already exists)
[T1] ⊘ Skipped 238: jhpratt/powerfmt (already exists)
[T2] ⊘ Skipped 239: smol-rs/event-listener-strategy (already exists)
[T3] ⊘ Skipped 240: hannobraun/inotify-sys (already exists)
[T0] ⊘ Skipped 241: RustCrypto/utils (already exists)
[T4] ⊘ Skipped 242: orlp/slotmap (already exists)
[T1] ⊘ Skipped 243: rust-lang/compiler-builtins (already exists)
[T1] ⊘ Skipped 248: tokio-rs/axum (already exists)
[T2] ⊘ Skipped 244: djc/hostname (already exists)
[T3] ⊘ Skipped 245: notify-rs/notify (already exists)
[T2] ⊘ Skipped 250: SergioBenitez/cookie-rs (already exists)
[T0] ⊘ Skipped 246: Frommi/miniz_oxide (already exists)
